store_id,name,food_type,avg_rating
bqbn,chacha & chachi chapati house,sandwiches,3.7
q4kv,ayam penyet watie 223,ayam penyet,4.7
byy2,nasi daging bakar rusa menangis (the petak prima damansara),malaysian,4.4
hyp0,asam pedas iman,chicken,4.3
ue7c,gerai tomyam pak cik amir,fried rice,4.7
rofm,warung bakso pak’de huda,soups,4.6
ask7,warong penyet mek alya,malaysian,4.8
mg5p,a&w (ativo plaza),fast food,4.4
wd6n,nasi kerabu pattani (subang),nasi kerabu,4.3
p2vt,restoran zone 8 white coffee,noodles,4.6
j1rs,pisang goreng pj seksyen 8,malaysian,4.7
n942,annabella,nasi lemak,4.4
n9ox,zainul nasi kandar original no.90,nasi kandar,4.5
e2lv,ruslina nasi ayam madu,chicken,4.7
l0ae,"zainul nasi kandar (7,8)",chicken,4.6
d4p9,nasi lemak mak ct (taman medan),nasi lemak,4.6
uhyy,rf tomyam,malaysian,4.5
z1lv,nasi kukus ayam planta (pj),nasi kukus,4.6
a3na,m & t corner,fried rice,4.5
n6zq,cha cha kitchen's,pasta,4.4
s8lg,saiva kitchens,vegetarian,4.6
qrg9,mr tako (taman medan),pancakes & waffles,4.8
uawc,keropok lekor ori pantai timur,0 min,4.5
t7ua,kendi besar tom yam seafood,seafood,4.6
gbe6,warisan popiah pak hassan kuala,mee goreng,4.2
i65y,malati cafe,indian,4.8
r2kd,restoran mariah,malaysian,4.6
i9qh,restoran d'alissa thai,thai,4.5
z8lt,no.2 gerai naling satay @ taman selera jalan othman,fried rice,4.4
uwvw,kak liza nasi lemak,nasi lemak,4.8
n2sg,d' naim nasi kukus (pj),nasi kukus,4.6
erzb,ah b kopitiam,noodles,4.6
k6t1,rahmad sambal hijau,asian,4.7
zjal,krishna vegetarian food,burgers,2.7
g41g,nasi lemak ajoy,nasi lemak,4.7
wres,warung ibu padang,seafood,4.6
qeqq,nasi kandar melayu ketagih,nasi kandar,4.3
